RuleID,Category,Standards,Deviation,Justification,SourceFile,Line,Title
R-c6f63e6a9c62,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/GEMINI.md,8,"- **Escalate** (ask) only when blocked by external access (e.g., missing credent"
R-0764e9a6edea,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/GEMINI.md,12,2. Run `scripts/verify_credentials.py`. If required envs are missing → write act
R-5c481b05a373,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/GEMINI.md,29,- Persistent memory lives in `storage/memory.json` (append-only sessions) and `d
R-3c2a89ce2799,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/GEMINI.md,32,## Directory Policy (enforced)
R-97b457f55036,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/GEMINI.md,37,- `artifacts/` build outputs; never commit secrets.
R-04137150b332,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/GEMINI.md,44,- Never print secret values; redact on screen and in logs.
R-98d949c9d3b1,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,8,- [ ] macOS 14+ or Windows 11+
R-1696b2b25830,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,9,- [ ] Python 3.11+
R-e48a4408784d,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,10,- [ ] Node.js 20+ and npm
R-d695572b182f,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,11,- [ ] `git` command line tools
R-394faee9aa9f,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,12,- [ ] For macOS: Xcode Command Line Tools (`xcode-select --install`)
R-e2360981c366,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,13,"- [ ] For macOS: Homebrew (optional, for `make`)"
R-5b906f9e48de,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,19,- [ ] **Python** (`ms-python.python`) - Core Python support.
R-269111f770c3,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,20,- [ ] **Pylance** (`ms-python.vscode-pylance`) - High-performance language serve
R-e656f3bffe4b,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,21,- [ ] **Electron** (`electron-react-devtools.electron-react-devtools`) - Electro
R-cf38528f7288,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,22,- [ ] **Prettier - Code formatter** (`esbenp.prettier-vscode`) - Code formatter.
R-5fe2b1347f59,Quality,Testing Pyramid;Deterministic Builds,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,23,- [ ] **ESLint** (`dbaeumer.vscode-eslint`) - Linter for JavaScript and TypeScri
R-86f87a247514,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,24,- [ ] **EditorConfig for VS Code** (`EditorConfig.EditorConfig`) - Enforces codi
R-6df496b14625,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,25,- [ ] **DotENV** (`mikestead.dotenv`) - Syntax highlighting for `.env` files.
R-3a6dcd53105a,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,37,2.  [ ] Install all required Python dependencies:
R-2f0542e78d25,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,61,2.  [ ] The `.env` file should contain placeholders for the required API keys (`
R-f3dda85d40aa,Quality,Testing Pyramid;Deterministic Builds,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,178,"- [ ] Run the ""Run Tests"" task and confirm that all tests pass."
R-a59556b2326b,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,179,"- [ ] Start debugging the ""Python: FastAPI"" launch configuration and confirm tha"
R-d1003084678c,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/COPILOT_DEPLOY.prompt.md,180,"- [ ] Start debugging the ""Electron: Main"" launch configuration and confirm that"
R-3eeb23b2be20,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/DEV_SETUP.md,50,6) Verify required environment variables
R-db68407f7295,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/ISA_synthesized/README.md,10,notarization you must add a few repository secrets under Settings → Secrets
R-f2050ecdb858,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/ISA_synthesized/audit_report.md,41,"*   **Description:** The `.env.example` file, which is intended to document all "
R-bf033e0f630a,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/ISA_synthesized/GEMINI.md,7,"- You must keep the repo healthy: pass tests, maintain docs, respect directory p"
R-988fe1572284,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/GEMINI.md,8,"- **Escalate** (ask) only when blocked by external access (e.g., missing credent"
R-826fc2d10531,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/GEMINI.md,12,2. Run `scripts/verify_credentials.py`. If required envs are missing → write act
R-446620ebcf15,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/ISA_synthesized/GEMINI.md,29,- Persistent memory lives in `storage/memory.json` (append-only sessions) and `d
R-cbc57d0183fe,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_synthesized/GEMINI.md,32,## Directory Policy (enforced)
R-d8959e76dceb,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/ISA_synthesized/GEMINI.md,37,- `artifacts/` build outputs; never commit secrets.
R-cb11874687c0,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/ISA_synthesized/GEMINI.md,44,- Never print secret values; redact on screen and in logs.
R-8d4e538fd619,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,40,"21. CI gating: Advisory→enforced cadence, time budgets, flaky quarantine; pytest"
R-450dc87b890f,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,236,- Determinism likely needs orjson + explicit newline/encoding policies; cross‑OS
R-fc58a69b5dea,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,238,- Polars/DuckDB promising for heavy joins; integration cost must be balanced wit
R-0e1b3070519d,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/RESEARCH_OPERATIONS.md,15,10) Promotion & Retirement: Promote to PR‑CI only if passing thresholds for 7 co
R-87a6decc8a17,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,15,- Ephemeral branches; auto-merge only if CI fully green.
R-89437d37407b,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,20,"- Append-only JSONL for events (plan, action, result, reward). Schemas validated"
R-4d5a690f28f6,Agentic,NIST AI RMF;Safe Autonomy Policies,No,,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,24,- T0: Read-only advice (default).
R-a42e983c341a,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,41,- Autonomy: all edits land on branches; T2 auto-merge only with fully green CI a
R-80d2159d642d,Agentic,NIST AI RMF;Safe Autonomy Policies,No,,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,43,Kill-Switch & Rollback Triggers
R-477477e93aaa,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,10,"- [x] Define toolchain and policies (uv, ruff, mypy, pytest, semgrep, bandit, pi"
R-0d568fa26983,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,11,- [x] Create ADR stubs for tooling and safety
R-0d86ca8d55ff,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,12,- [ ] Document reward model and autonomy tiers
R-9c389b90ddee,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,13,Acceptance:
R-11a6e38a60ec,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,14,- Clear ADRs exist for tooling and safety with owners and rationale.
R-a8028714549a,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,15,- Reward model draft includes positive/negative signals and normalization.
R-29b1da8375c4,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,17,2) Monorepo Unification (Plan Only in this commit)
R-e1bdbbe2f55a,Agentic,NIST AI RMF;Safe Autonomy Policies,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,18,"- [ ] Target layout defined: apps/superapp, packages/isa_c_full, packages/isa_c_"
R-2456dd106610,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,19,- [ ] Migration map from current folders to targets
R-bbde67658c76,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,20,- [ ] Root README and CONTRIBUTING outline the structure
R-29cc5fecb085,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,21,Acceptance:
R-9affebb15897,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,22,- Migration document lists every move and import change.
R-5e88ab6c0fbc,Quality,Testing Pyramid;Deterministic Builds,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,23,- Superapp runs smoke test post-migration.
R-405eed5f2014,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,26,- [ ] Root pyproject for shared tool config (no package build yet)
R-00b4cac92bed,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,27,- [ ] uv lock strategy and constraints policy documented
R-bb547b1224eb,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,28,- [ ] Deps report script planned (not executed here)
R-114e2a7184dc,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,29,Acceptance:
R-68d53a5dc84f,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,30,- One authoritative lock tool and constraints policy; no duplicate managers.
R-2b5e163987ee,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,33,- [x] Consolidate on ruff for lint+format in CI
R-7c89cec20ef6,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,34,- [x] Pre-commit hooks planned with ruff and mypy
R-e053c2c20e80,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,35,- [ ] Enforce formatting in CI on PRs
R-49732ce7bf3e,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,36,Acceptance:
R-6fcd533004e7,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,37,- `ruff check` and `ruff format --check` pass on default branch.
R-512b494a7c97,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,40,- [ ] mypy gate (strict on libraries) configured in CI
R-131ed023eee3,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,41,- [ ] Type coverage metric collected in CI
R-9093e82fd99f,Agentic,NIST AI RMF;Safe Autonomy Policies,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,42,- [ ] JSON Schemas for agent traces and plans planned
R-eebd79ba8dc0,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,43,Acceptance:
R-0de146602a32,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,44,- mypy runs in CI; type coverage threshold recorded.
R-df4628ed8529,Quality,Testing Pyramid;Deterministic Builds,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,47,- [ ] Unit/integration/property tests run on PRs
R-73630b815422,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,48,- [ ] Mutation/fuzz/benchmarks scheduled nightly
R-23bd724f3318,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,49,- [ ] CrossHair targeted weekly (pure mappers)
R-e39ba70fd8f6,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,50,Acceptance:
R-1ed45a322446,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,51,"- Coverage >= 90% gate (core), nightly mutation score >= 70% reported."
R-611e9c62c16d,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,54,- [ ] Mapping matrix generation job planned (CSV/HTML)
R-912b562fa0ca,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,55,- [ ] CI check for gaps/collisions planned
R-b3a4f83b6075,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,56,Acceptance:
R-056a0c3fe0a4,Process,Lean/Agile,Yes,Policy allows exceptions via waiver/break-glass,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,57,- No critical unmapped fields without waiver.
R-2ad29d6b29f5,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,60,- [ ] Canonical JSON writer policy documented
R-8b29e6ee06e5,Quality,Testing Pyramid;Deterministic Builds,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,61,- [ ] Snapshot tests policy documented
R-92957e0079fd,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,62,Acceptance:
R-ae467dae06e4,Quality,Testing Pyramid;Deterministic Builds,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,63,- Byte-for-byte stable snapshots for canonical outputs.
R-17e5cda3451b,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,66,- [ ] Baseline profiling job planned (cProfile/py-spy)
R-6da8e04bef13,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,67,- [ ] Perf budgets in CI (regression guard) planned
R-f633f302b6fa,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,68,- [ ] Parallel runner & content-hash cache planned
R-7cb0f4c1c8e4,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,69,Acceptance:
R-930bb0b5f072,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,70,- >=30% target speedup on workload; CI fails on budget regressions.
R-fb2487a2abbe,Observability,Google SRE: Golden Signals;Prometheus Best Practices,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,73,- [ ] Structured logging schema plan (correlation IDs)
R-10f696eb6503,Observability,Google SRE: Golden Signals;Prometheus Best Practices,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,74,- [ ] Prometheus metrics and Grafana dashboard plan
R-e10033c7e15d,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,75,Acceptance:
R-c1930d86e5f5,Observability,Google SRE: Golden Signals;Prometheus Best Practices,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,76,"- Metrics for throughput, latency, error classes; dashboard JSON stored."
R-18ff6e08b4de,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,79,"- [x] SAST/SCA tools selected (bandit, pip-audit, gitleaks, trivy)"
R-559c49851c31,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,80,- [ ] SBOM generation scheduled in CI (syft)
R-85586f05e40f,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,81,- [ ] OpenSSF Scorecard job planned
R-8d2f2c3bc649,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,82,Acceptance:
R-08777d073bb7,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,83,- No high/critical findings; SBOM artifact per release.
R-5f579db91698,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,86,- [x] PR CI workflow skeleton added
R-2fed3e202f06,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,87,- [x] Nightly/weekly jobs skeletons added
R-4a45e5e6420e,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,88,- [ ] Release workflow and changelog automation planned
R-8b3fcbd4f2af,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,89,Acceptance:
R-5c618c64ecd8,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,90,- CI green on default; scheduled jobs publish artifacts.
R-6ba2a4e299db,Agentic,NIST AI RMF;Safe Autonomy Policies,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,93,- [ ] Makefile (root) stubs with agent-aware tasks planned
R-b857abe498d2,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,94,- [ ] Devcontainer and VS Code tasks planned
R-34a74eb68b61,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,95,Acceptance:
R-28a02c03321e,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,96,- New dev can run one-command demo and CI dry run in <=5 minutes.
R-1162c1c838d3,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,99,- [ ] Expectation suites plan (Great Expectations or pydantic-core)
R-53c55ae1d6f6,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,100,- [ ] CI gate on data quality planned
R-5f99eeb9cac0,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,101,Acceptance:
R-4e6d3c1b4bb7,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,102,- >=99% pass for critical expectations.
R-e6b44a20ba15,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,105,- [ ] Wheel packaging plan for packages/isa_c_full and packages/isa_c_mapping
R-42a85bb77a4f,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,106,"- [ ] Docker image plan for apps/superapp (non-root, healthcheck)"
R-6461f6256458,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,107,Acceptance:
R-b67391137391,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,108,- docker compose demo brings up end-to-end stack.
R-fce7bbb5a18c,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,111,"- [x] Document planner, builder, verifier, critic, reward aggregator, meta-learn"
R-f01f4418b67d,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,112,"- [x] Policy engine and safety guardrails (allowlists, rate limits) documented"
R-0cd6f52446f6,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,113,- [ ] Autonomy tiers and promotion gates documented
R-d43429860a3e,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,114,Acceptance:
R-d74092ed033d,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,115,- Policies and autonomy tiers are explicit; kill-switch defined.
R-05ee869b1610,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,118,- [x] Initial reward model outlined
R-7361081cff08,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,119,- [ ] Bandit strategy set enumerated and evaluators planned
R-3ef6cac86b1e,Data,GDPR/DPIA;Data Lineage (OpenLineage),No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,120,- [ ] Replay log schema defined (JSONL)
R-43ce29965a57,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,121,Acceptance:
R-41144d93a09c,Agentic,NIST AI RMF;Safe Autonomy Policies,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,122,- Agent eval win-rate targets defined; logs schema validated.
R-68be4f8ebeec,Agentic,NIST AI RMF;Safe Autonomy Policies,No,,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,125,"- [ ] SLOs for agent success, revert rate, latency"
